time,concentration
0.144273919,0.265748031
0.152709751,0.263103303
0.323774906,0.347769029
0.324687078,0.327343218
0.475228864,0.703193351
0.487110108,0.701319595
0.630424547,0.604118163
0.637901633,0.607502187
0.806183809,0.696358268
0.840619057,0.686530247
0.968856579,0.911663386
0.9743792,0.896114267
1.127247935,0.945157391
1.131529348,0.983431759
1.311030336,1.130386045
1.473703105,1.000519466
1.509419771,0.975862391
1.624071322,0.986317479
1.658813498,1.003937008
1.810267456,1.000519466
1.853374424,0.99688458
1.961721414,0.966344051
1.996688863,0.986317479
2.146831808,0.980014217
2.197329077,0.986317479
2.29267636,1.068870297
2.33108922,1.023800293
2.466567941,1.003937008
2.503066547,1.002210509
2.965805062,0.945838801
2.999889935,0.9203092
3.986716927,0.641677603
4.003091006,0.623743939
5.994884222,0.535733815
5.999938853,0.520388646
7.987232403,0.354580185
10.00318884,0.336181429
11.99048239,0.239041311
13.97777594,0.198371995
15.98417809,0.161150428
